objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,call_number,mta_location
object001,,Morice House,,1921,"Morice House is also recognized for the involvement of the Morice family in the economy of the Sackville area. The location of the house next to Morice’s Mill Pond is also significant. The pond area is thought to be one of the oldest industrial sites in Canada. There are indications here of an earlier Acadian dam and from 1821 until 1939 the successful Grist Mill, Carding Mill and woodworking factory of the Morice family. The land had passed through a number of hands when John Morice purchased the north easterly half of the Mill Pond including Grist Mill and Saw Mill from John Harper in 1821. The Morice family added a carding mill under the management of John Morice’s three grandsons, John, Charles and William. A woodworking establishment was set up on the opposite side of the road where they manufactured doors, windows, threshing and grain cleaning machines, as well as household furniture. In later years, the family was involved with the production of ice for the residents of the area and operated a summer boat business that included a gasoline launch, sail and rowboats.",Developing Economies -- Extraction and Production;Expressing Intellectual and Cultural Life,"Sackville, New Brunswick",45.926405,-64.357604,Canadian Register,6854,,,eng,,,compound_object,/objects/morice-house-1.jpg,/objects/small/morice-house-1_sm.jpg,/objects/thumbs/morice-house-1_th.jpg,,,,
object018,object001,,,,,,,,,,,,,,,,image,/objects/morice-house-1.jpg,/objects/small/morice-house-1_sm.jpg,/objects/thumbs/morice-house-1_th.jpg,,,,
object019,object001,,,,,,,,,,,,,,,,image,/objects/morice-house-2.jpg,/objects/small/morice-house-2_sm.jpg,/objects/thumbs/morice-house-2_th.jpg,,,,
object020,object001,,,,,,,,,,,,,,,,image,/objects/morice-house-3.jpg,/objects/small/morice-house-3_sm.jpg,/objects/thumbs/morice-house-3_th.jpg,,,,
object002,,Annual ice fishing derby attracts more than 40 kids,"Weldon, Tori",2024-02-20,,,"Sackville, New Brunswick",,,CHMA,,,,eng,,,mp3,/objects/weldon-derby.mp3,,,,,,
object003,,Connecticut to Nova Scotia,"Dickson, Katherine",1987,,"Gorham, Joseph;Eddy Jonathan;Monckton, Robert;Knapp, Titus;Dickson, Thomas;Wethered,Catherine;Dickson, Dalton;Dickson, Catherine;Dickson, Sarah;Dickson, James;Dickson, Charles;Dickson, John;Dickson, Mary;Dickson, Robert;Dickson, Suzanna;Etter, Peter;Roach, Thomas;Fort Beausejour;Sieges;Fort Cumberland;Indians;Gorham's Rangers;Upper Sackville;Morice's Mill Pond;Baie Verte;Eddy Rebellion;Copp Aboideau;Wills;Maps","Sackville, New Brunswick",,,Downeast Dicksons,1246,,,eng,,,record,,,,,,CS 71 D621 1987,"W.P. Bell Collection of Acadiana, Microform Room"
object004,,An Important Industry,,1903-08-27,,Carding mills;Grist mills;Factories;Middle Sackville;Businesses;Morice Brothers;Morice's Mill Pond;Woodworking,"Sackville, New Brunswick",,,Tribune (Sackville),2288,,,eng,,,record,,,,,,M 5227,"W.P. Bell Collection of Acadiana, Microform Room"
object005,,Local and Provincial News,,1870-11-17,,Boat races;Boats;Sports;Morice's Mill Pond;Middle Sackville,"Sackville, New Brunswick",,,Chignecto Post,3576,,,eng,,,record,,,,,,M 5045,"W.P. Bell Collection of Acadiana, Microform Room"
object006,,A Regatta,,1872-05-02,,Morice's Mill Pond;Middle Sackville;Sports;Exhibitions;New Brunswick;Agriculture;Fairs;Tourism;Boat racing;Boats;Races,"Sackville, New Brunswick",,,Chignecto Post,4059,,,eng,,,record,,,,,,M 5045,"W.P. Bell Collection of Acadiana, Microform Room"
object007,,The Mills and Millpond in Middle Sackville,"Estabrooks, Ernest",2001-04,,"Mills;Millponds;Middle Sackville;Mill Dam;Mill Creek;Carter's Brook;Settlement;New England Settlers;Letter B Division;Lilas Fawcett Park;Morice Drive;Grist Mills;Sawmills;Mason Nathanial;Patton, Mark;Baker, William;Patton's Point;Ayer, Elijah;Swansea Massachusetts;Baptists;American Revolution;Eddy Rebellion;Harper Christopher;Fort Cumberland;Morice's Mill Pond;Harper, John;Morice, John;Humphreys, John;Ayer, Obadiah;Silver Lake;Wood Herbert;Black, Margaret (Bunny);Carding Mills;Fullerton, Marcie;Frosy Hollow;Botsford, Amos Edwin;Woodworking Factories;Furniture;Doors;Sackville Fish and Game Association;Sports","Sackville, New Brunswick",,,White Fence,4482,,,eng,,,record,,,,,,FC 2495 T3 N49,W.P. Bell Collection of Acadiana
